week,policy,status,objective_gain,success,warm_a1_gain,gain_over_warm,gain_over_warm_pct,solver_mip_gap,mip_gap,mip_node_count,solve_s,n_arcs,n_sku,moves,partners_per_sku,candidate_scope,full_T_candidate_pool,old_head_only,a1_incumbent_feasible,replay_scope
13,B1_ABC_static,fixed,,,,,,,,,,,,,,,,,,
14,B1_ABC_static,fixed,,,,,,,,,,,,,,,,,,
15,B1_ABC_static,fixed,,,,,,,,,,,,,,,,,,
16,B1_ABC_static,fixed,,,,,,,,,,,,,,,,,,
17,B1_ABC_static,fixed,,,,,,,,,,,,,,,,,,
18,B1_ABC_static,fixed,,,,,,,,,,,,,,,,,,
19,B1_ABC_static,fixed,,,,,,,,,,,,,,,,,,
20,B1_ABC_static,fixed,,,,,,,,,,,,,,,,,,
21,B1_ABC_static,fixed,,,,,,,,,,,,,,,,,,
13,A1_pool,heuristic,52640.5302734375,,,,,,,,,,,,,,,,,
13,Exact_assignment_same_state,Optimization terminated successfully. (HiGHS Status 7: Optimal),54012.4150390625,True,52640.5302734375,1371.884765625,2.606137815289553,0.0,0.0,1.0,5.2562196254730225,88826.0,1686.0,100.0,30.0,all ReslotProblem decision SKUs; current-SKU-slot permutation; top-partner reciprocal arcs plus all A1 incumbent arcs,False,False,True,paired same-state weekly diagnostic
14,A1_pool,heuristic,33255.0517578125,,,,,,,,,,,,,,,,,
14,Exact_assignment_same_state,Optimization terminated successfully. (HiGHS Status 7: Optimal),33680.40234375,True,33255.0517578125,425.3505859375,1.2790555523269447,0.0,0.0,1.0,4.621481895446777,86494.0,1684.0,100.0,30.0,all ReslotProblem decision SKUs; current-SKU-slot permutation; top-partner reciprocal arcs plus all A1 incumbent arcs,False,False,True,paired same-state weekly diagnostic
15,A1_pool,heuristic,53750.427978515625,,,,,,,,,,,,,,,,,
15,Exact_assignment_same_state,Optimization terminated successfully. (HiGHS Status 7: Optimal),55255.848876953125,True,53750.427978515625,1505.4208984375,2.8007607661081804,0.0,0.0,1.0,9.034510850906372,88179.0,1685.0,100.0,30.0,all ReslotProblem decision SKUs; current-SKU-slot permutation; top-partner reciprocal arcs plus all A1 incumbent arcs,False,False,True,paired same-state weekly diagnostic
16,A1_pool,heuristic,48464.653564453125,,,,,,,,,,,,,,,,,
16,Exact_assignment_same_state,Optimization terminated successfully. (HiGHS Status 7: Optimal),49624.82080078125,True,48464.653564453125,1160.167236328125,2.393842008558297,0.0,0.0,1.0,4.548346757888794,88404.0,1692.0,100.0,30.0,all ReslotProblem decision SKUs; current-SKU-slot permutation; top-partner reciprocal arcs plus all A1 incumbent arcs,False,False,True,paired same-state weekly diagnostic
17,A1_pool,heuristic,52634.644958496094,,,,,,,,,,,,,,,,,
17,Exact_assignment_same_state,Optimization terminated successfully. (HiGHS Status 7: Optimal),54042.899169921875,True,52634.644958496094,1408.2542114257812,2.675527140985238,0.0,0.0,1.0,5.114933729171753,90123.0,1697.0,100.0,30.0,all ReslotProblem decision SKUs; current-SKU-slot permutation; top-partner reciprocal arcs plus all A1 incumbent arcs,False,False,True,paired same-state weekly diagnostic
18,A1_pool,heuristic,48638.115325927734,,,,,,,,,,,,,,,,,
18,Exact_assignment_same_state,Optimization terminated successfully. (HiGHS Status 7: Optimal),49503.066345214844,True,48638.115325927734,864.9510192871094,1.7783399161151834,0.0,0.0,1.0,45.478392601013184,89149.0,1700.0,100.0,30.0,all ReslotProblem decision SKUs; current-SKU-slot permutation; top-partner reciprocal arcs plus all A1 incumbent arcs,False,False,True,paired same-state weekly diagnostic
19,A1_pool,heuristic,36540.84184265137,,,,,,,,,,,,,,,,,
19,Exact_assignment_same_state,Optimization terminated successfully. (HiGHS Status 7: Optimal),37209.27586364746,True,36540.84184265137,668.4340209960938,1.8292792045526471,0.0,0.0,1.0,4.909644842147827,88800.0,1700.0,100.0,30.0,all ReslotProblem decision SKUs; current-SKU-slot permutation; top-partner reciprocal arcs plus all A1 incumbent arcs,False,False,True,paired same-state weekly diagnostic
20,A1_pool,heuristic,54914.704582214355,,,,,,,,,,,,,,,,,
20,Exact_assignment_same_state,Optimization terminated successfully. (HiGHS Status 7: Optimal),56008.79342651367,True,54914.704582214355,1094.0888442993164,1.992342219853564,0.0,0.0,1.0,40.77571439743042,90241.0,1699.0,100.0,30.0,all ReslotProblem decision SKUs; current-SKU-slot permutation; top-partner reciprocal arcs plus all A1 incumbent arcs,False,False,True,paired same-state weekly diagnostic
21,A1_pool,heuristic,37449.88425064087,,,,,,,,,,,,,,,,,
21,Exact_assignment_same_state,Optimization terminated successfully. (HiGHS Status 7: Optimal),38606.89937591553,True,37449.88425064087,1157.0151252746582,3.089502540331239,0.0,0.0,1.0,5.493218421936035,89229.0,1701.0,100.0,30.0,all ReslotProblem decision SKUs; current-SKU-slot permutation; top-partner reciprocal arcs plus all A1 incumbent arcs,False,False,True,paired same-state weekly diagnostic
