week,n_policies,entrants_identical,evictions_identical,membership_identical,admission_counts_identical,eviction_counts_identical,mandatory_budget_charge_identical,mandatory_budget_charge_zero,optional_moves_within_B,absolute_admission_slots_identical
62,3,True,True,True,True,True,True,True,True,True
63,3,True,True,True,True,True,True,True,True,True
64,3,True,True,True,True,True,True,True,True,True
65,3,True,True,True,True,True,True,True,True,True
66,3,True,True,True,True,True,True,True,True,True
67,3,True,True,True,True,True,True,True,True,True
68,3,True,True,True,True,True,True,True,True,True
69,3,True,True,True,True,True,True,True,True,True
70,3,True,True,True,True,True,True,True,True,True
71,3,True,True,True,True,True,True,True,True,True
72,3,True,True,True,True,True,True,True,True,True
73,3,True,True,True,True,True,True,True,True,True
74,3,True,True,True,True,True,True,True,True,True
75,3,True,True,True,True,True,True,True,True,True
76,3,True,True,True,True,True,True,True,True,True
77,3,True,True,True,True,True,True,True,True,True
78,3,True,True,True,True,True,True,True,True,True
79,3,True,True,True,True,True,True,True,True,True
80,3,True,True,True,True,True,True,True,True,True
81,3,True,True,True,True,True,True,True,True,True
82,3,True,True,True,True,True,True,True,True,True
83,3,True,True,True,True,True,True,True,True,True
84,3,True,True,True,True,True,True,True,True,True
85,3,True,True,True,True,True,True,True,True,True
86,3,True,True,True,True,True,True,True,True,True
87,3,True,True,True,True,True,True,True,True,True
88,3,True,True,True,True,True,True,True,True,True
89,3,True,True,True,True,True,True,True,True,True
90,3,True,True,True,True,True,True,True,True,True
91,3,True,True,True,True,True,True,True,True,True
92,3,True,True,True,True,True,True,True,True,True
93,3,True,True,True,True,True,True,True,True,True
94,3,True,True,True,True,True,True,True,True,False
95,3,True,True,True,True,True,True,True,True,False
96,3,True,True,True,True,True,True,True,True,True
97,3,True,True,True,True,True,True,True,True,True
98,3,True,True,True,True,True,True,True,True,True
99,3,True,True,True,True,True,True,True,True,True
100,3,True,True,True,True,True,True,True,True,True
101,3,True,True,True,True,True,True,True,True,False
102,3,True,True,True,True,True,True,True,True,True
103,3,True,True,True,True,True,True,True,True,True
