week,orders,lines,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,policy,moves,mandatory_admissions,mandatory_evictions,mandatory_budget_charge,optional_budget_limit,entrants_signature,evictions_signature,membership_signature,admission_slots_signature,admission_mean_depot_m,slotted_skus,total_skus,previously_unseen_lines
62,287,7530,252.012,878.0905923344948,0.0057713985443115234,0.5891035856573705,19.072759223358425,35.926666666660466,0.31136495173108414,B1_open,0,0,0,0,100,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,94d6fa2b9fcf63efe736966dbf780eda024d90f81180e3c0ad180bb8e683331e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,4253,4881,0
63,285,7192,243.948,855.9578947368421,0.005501747131347656,0.5594201890989989,18.476252436647332,35.08000000000092,0.021087962962962288,B1_open,0,23,0,0,100,9ffc769c793f89e3fbf655c8a0b2083dc57841baee1578d3887015cd344866de,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,300234d8264288375662f186df5d2c6816144231f0c5fb16f1be723de41ac7f4,e725650b2fe7fdf2212de6ac9faa478304246c37bad575e2e04272b0f756211e,151.02173913043478,4276,4881,90
64,292,7245,244.56,837.5342465753424,0.0056989192962646484,0.5527156659765355,18.209135273972507,34.78333333332316,0.5594583333333399,B1_open,0,8,0,0,100,01213a15f6027cedaf168ed4cf1b1204b4fe7724ff25b6e86de6f00e948f082e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a9198e58d063bbec63f974daf8a98fa99bf63b576336efd67441458bc5bc961c,d32061f84fd357bab9a5ccf9d51d002f7b83ff08d081e00b3bd751f80fc3ef53,152.0,4284,4881,188
65,338,7966,276.66,818.5207100591716,0.006417989730834961,0.5521026864172734,18.04772076827749,34.060000000002994,2.6910492168509497,B1_open,0,0,0,0,100,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a9198e58d063bbec63f974daf8a98fa99bf63b576336efd67441458bc5bc961c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,4284,4881,207
66,324,8224,283.464,874.8888888888889,0.006341457366943359,0.5567363813229572,19.094862176289485,35.71999999999927,1.5278113075194697,B1_open,0,8,0,0,100,cfc9ccf9e99e7c3caea4035635a65b63c37ff5cab2ac861e7edc12fb9825ad07,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,16c2ca91eb98cf5b69061bf2001fe4a5a41ea25ae5aa7c827461f2b4a7d1ca88,5b6150685696be92239d57700cae7baaed7521eafec42e95e8c1c24f683bac28,152.5,4292,4881,201
67,354,8629,300.486,848.8305084745763,0.0069141387939453125,0.5482703673658593,18.458610954538088,39.193333333334344,1.4680268539980859,B1_open,0,2,0,0,100,5406d4bec75e616a7b59137b3d05b06d5cdea8988c4c5e8c75e889fbeac90399,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,80e60c703fb27e4df1a00b7c9abf1bb44fc5e7ea76a8bf44600d3a7a42fedd43,0aa7ee0914ed964e95ce43e23f3d91070b0834d766af202eb36d74dfa85278fe,152.5,4294,4881,309
68,313,7633,286.836,916.408945686901,0.0063211917877197266,0.5287665400235818,19.383557021973054,35.0333333333477,0.23811135351567525,B1_open,0,4,0,0,100,9d111ae5162dde85d5a8f808cded43e8836d2da173ecf303ed86d941d83fb025,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,6e330fdc9b287f454781212027682d4b860f8a4bf0d45df7225bffcc2802a0a4,0dfb7202296bfdb7e616c9f9622e72c3ded822fbf267685d4a8a15132993551f,153.0,4298,4881,234
69,366,7305,314.418,859.0655737704918,0.007653713226318359,0.5474845995893224,17.980342102201686,31.999999999992724,2.0500868234314535,B1_open,0,9,0,0,100,829e346b84affc88e191d9e16f76eb1c6db65a9b0eb0e6470e76fcd367ebfeae,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e40216fb8c34a50a2f448cd88813df057492fc56d03832334d4ce842d3de5eb0,1fc49d40d67fb0a38f7a13a2cb20c5f7895eacc48574d1331da8d659354c19d7,153.5,4307,4881,419
70,271,7825,249.48,920.590405904059,0.005469322204589844,0.5054217252396166,20.765684768530274,40.433333333330665,2.7555650934169726,B1_open,0,31,0,0,100,5b5217455721ed5bb378b602e065a770d2a4051f4d42176730aa8dd74a80c274,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,dfb4483c98202e675dcecc0c046a4f1a6d424d1748c0edaddd9537774415a8b8,dd2ac6c849b71037dc8848f934fb2870c75820cf8ca6f51da97d91bd85e9fbe7,154.7258064516129,4338,4881,470
71,215,4681,180.582,839.9162790697675,0.0042192935943603516,0.5170529801324504,17.712451215554946,37.10257272139628,0.3051724112947272,B1_open,0,13,0,0,100,07dcca1ce0d89316d0860cfbe66ecc7c2c039c25d48988ef798d8b86ebfde051,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,8d29593022936be64e561b719d5a9b6a2952c4e6ec5cfc8a099ff2ff66273ed4,1a8517d3fcaf7b5600b2687c54a1ab230103caae50050eb5287719635e2a55eb,156.34615384615384,4351,4881,316
