dataset,comparison,block,week_start,week_end,n_weeks,effect_pct,favorable
primary,A1_pool vs B1_ABC_static,1,13,16,4,-2.0097712989586514,True
primary,A1_pool vs B1_ABC_static,2,17,20,4,-3.3955783382083493,True
primary,A1_pool vs B1_ABC_static,3,21,21,1,-2.4629046680867517,True
primary,Exact_assignment_same_state vs B1_ABC_static,1,13,16,4,-1.794614756604751,True
primary,Exact_assignment_same_state vs B1_ABC_static,2,17,20,4,-3.342831154671755,True
primary,Exact_assignment_same_state vs B1_ABC_static,3,21,21,1,-2.1895878619566544,True
retail2_closed,A1_pool vs B1_ABC_static,1,62,65,4,-9.092019742950686,True
retail2_closed,A1_pool vs B1_ABC_static,2,66,69,4,-10.935373402994264,True
retail2_closed,A1_pool vs B1_ABC_static,3,70,73,4,-9.591569227157414,True
retail2_closed,A1_pool vs B1_ABC_static,4,74,77,4,-9.76626122443962,True
retail2_closed,A1_pool vs B1_ABC_static,5,78,81,4,-9.704240960337629,True
retail2_closed,A1_pool vs B1_ABC_static,6,82,85,4,-6.199152431527466,True
retail2_closed,A1_pool vs B1_ABC_static,7,86,89,4,-7.380863470542631,True
retail2_closed,A1_pool vs B1_ABC_static,8,90,93,4,-5.852910481139906,True
retail2_closed,A1_pool vs B1_ABC_static,9,94,97,4,-9.418091104031657,True
retail2_closed,A1_pool vs B1_ABC_static,10,98,101,4,-11.33706022982529,True
retail2_closed,A1_pool vs B1_ABC_static,11,102,103,2,-10.607740933791732,True
retail2_open,A1_open vs B1_open,1,62,65,4,-9.490355689258545,True
retail2_open,A1_open vs B1_open,2,66,69,4,-12.958781779339269,True
retail2_open,A1_open vs B1_open,3,70,73,4,-13.762898904422094,True
retail2_open,A1_open vs B1_open,4,74,77,4,-18.280266780659794,True
retail2_open,A1_open vs B1_open,5,78,81,4,-16.781956635470564,True
retail2_open,A1_open vs B1_open,6,82,85,4,-16.29564930006373,True
retail2_open,A1_open vs B1_open,7,86,89,4,-17.468527225845587,True
retail2_open,A1_open vs B1_open,8,90,93,4,-13.878396022874073,True
retail2_open,A1_open vs B1_open,9,94,97,4,-15.818652941908928,True
retail2_open,A1_open vs B1_open,10,98,101,4,-21.17874046744972,True
retail2_open,A1_open vs B1_open,11,102,103,2,-20.959895073433334,True
retail2_open,A1_open vs reABC_open,1,62,65,4,-6.22742634341904,True
retail2_open,A1_open vs reABC_open,2,66,69,4,-6.761747241126869,True
retail2_open,A1_open vs reABC_open,3,70,73,4,-7.980072463768129,True
retail2_open,A1_open vs reABC_open,4,74,77,4,-10.179099199232077,True
retail2_open,A1_open vs reABC_open,5,78,81,4,-8.967008277075372,True
retail2_open,A1_open vs reABC_open,6,82,85,4,-7.008093322353403,True
retail2_open,A1_open vs reABC_open,7,86,89,4,-8.04006512272476,True
retail2_open,A1_open vs reABC_open,8,90,93,4,-8.579316990012408,True
retail2_open,A1_open vs reABC_open,9,94,97,4,-9.389370223222127,True
retail2_open,A1_open vs reABC_open,10,98,101,4,-10.970565577287994,True
retail2_open,A1_open vs reABC_open,11,102,103,2,-11.535003869088257,True
