week,orders,lines,n_tours,batch_cap,routing,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,policy
13,4619,92346,4619,1,sshape,2464.158,533.4830049794327,0.09198403358459473,0.6443473458514717,93.30759441975991,168.48440004011132,666.0108641856831,B1_ABC
14,4926,101294,4926,1,sshape,2691.315,546.3489646772229,0.0932159423828125,0.6423791142614568,125.18470437245968,194.1073811407218,771.80139725322,B1_ABC
15,4428,87184,4428,1,sshape,2409.71,544.1982836495032,0.10907793045043945,0.6375567764727473,98.88789200409596,189.3903299007498,644.8362653511549,B1_ABC
16,5091,106001,5091,1,sshape,2798.434,549.6825770968376,0.09926676750183105,0.6393970339902454,121.12684958402484,208.93755594477406,803.8383346134067,B1_ABC
17,5240,99173,5240,1,sshape,2742.974,523.468320610687,0.12288498878479004,0.6325035543948454,102.85221583397107,194.39933874403513,737.5717968608928,B1_ABC
18,4195,84527,4195,1,sshape,2298.953,548.0221692491061,0.08054852485656738,0.6418697575922486,92.90293140753163,175.45059673695224,547.4252076364713,B1_ABC
19,5148,98986,5148,1,sshape,2756.013,535.3560606060606,0.10080170631408691,0.6283449174630756,109.19017133987283,185.0876744924037,727.2308097689788,B1_ABC
20,4800,94279,4800,1,sshape,2617.782,545.37125,0.10105013847351074,0.6370907094899182,96.66435432699528,162.83284703555572,701.6440666271245,B1_ABC
21,5057,98283,5057,1,sshape,2751.02,544.0023729483884,0.09530401229858398,0.6297292003703591,105.44823960494983,177.876483720561,755.9166142092265,B1_ABC
13,4619,92346,4619,1,sshape,2438.828,527.9991340116909,0.11651611328125,0.6494439390986074,90.4723002347247,160.16524136700437,663.5151301753592,A1_pool
14,4926,101294,4926,1,sshape,2656.959,539.3745432399513,0.0934293270111084,0.6478182320769246,114.60951933931975,175.85373585141267,745.760988106486,A1_pool
15,4428,87184,4428,1,sshape,2348.187,530.3042005420054,0.12763476371765137,0.6501060974490732,86.40437664610069,172.3065662242676,598.7877160817163,A1_pool
16,5091,106001,5091,1,sshape,2711.358,532.5786682380672,0.09341788291931152,0.6534568070112546,113.85642171449233,177.25995202410607,785.2726896552165,A1_pool
17,5240,99173,5240,1,sshape,2653.419,506.3776717557252,0.1179196834564209,0.6509279239309086,111.08959722769292,207.74920096468614,780.2013435675643,A1_pool
18,4195,84527,4195,1,sshape,2216.275,528.3134684147795,0.10314798355102539,0.6624602198114212,86.24129179918354,156.14219313356793,551.8754210467655,A1_pool
19,5148,98986,5148,1,sshape,2680.144,520.6184926184926,0.10906028747558594,0.6437880104257168,109.74950417466128,185.25907222807297,757.2418910455763,A1_pool
20,4800,94279,4800,1,sshape,2512.21,523.3770833333333,0.09334301948547363,0.6561050180846212,92.65469892273724,147.43626739794294,698.2075245340269,A1_pool
21,5057,98283,5057,1,sshape,2683.265,530.6041131105399,0.09316825866699219,0.6446544672018558,104.19734746673834,179.31881452892952,767.5837411493341,A1_pool
