week,orders,lines,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,policy,moves,opt_time_s,cell,factor,level
13,4619,92346,2464.158,533.4830049794327,0.08545184135437012,0.6443473458514717,93.30759441975991,168.48440004011132,666.0108641856831,B1,0,0.0,base,base,base
14,4926,101294,2691.315,546.3489646772229,0.0946950912475586,0.6423791142614568,125.18470437245968,194.1073811407218,771.80139725322,B1,0,0.0,base,base,base
15,4428,87184,2409.71,544.1982836495032,0.08252930641174316,0.6375567764727473,98.88789200409596,189.3903299007498,644.8362653511549,B1,0,0.0,base,base,base
16,5091,106001,2798.434,549.6825770968376,0.10612297058105469,0.6393970339902454,121.12684958402484,208.93755594477406,803.8383346134067,B1,0,0.0,base,base,base
17,5240,99173,2742.974,523.468320610687,0.10221171379089355,0.6325035543948454,102.85221583397107,194.39933874403513,737.5717968608928,B1,0,0.0,base,base,base
18,4195,84527,2298.953,548.0221692491061,0.07823038101196289,0.6418697575922486,92.90293140753163,175.45059673695224,547.4252076364713,B1,0,0.0,base,base,base
19,5148,98986,2756.013,535.3560606060606,0.09740686416625977,0.6283449174630756,109.19017133987283,185.0876744924037,727.2308097689788,B1,0,0.0,base,base,base
20,4800,94279,2617.782,545.37125,0.09310388565063477,0.6370907094899182,96.66435432699528,162.83284703555572,701.6440666271245,B1,0,0.0,base,base,base
21,5057,98283,2751.02,544.0023729483884,0.09612655639648438,0.6297292003703591,105.44823960494983,177.876483720561,755.9166142092265,B1,0,0.0,base,base,base
13,4619,92346,2438.828,527.9991340116909,0.12189412117004395,0.6494439390986074,90.4723002347247,160.16524136700437,663.5151301753592,A1,100,5.2,base,base,base
14,4926,101294,2656.959,539.3745432399513,0.09278249740600586,0.6478182320769246,114.60951933931975,175.85373585141267,745.760988106486,A1,100,5.2,base,base,base
15,4428,87184,2348.187,530.3042005420054,0.08321857452392578,0.6501060974490732,86.40437664610069,172.3065662242676,598.7877160817163,A1,100,5.2,base,base,base
16,5091,106001,2711.358,532.5786682380672,0.0967566967010498,0.6534568070112546,113.85642171449233,177.25995202410607,785.2726896552165,A1,100,5.29,base,base,base
17,5240,99173,2653.419,506.3776717557252,0.09594988822937012,0.6509279239309086,111.08959722769292,207.74920096468614,780.2013435675643,A1,100,5.62,base,base,base
18,4195,84527,2216.275,528.3134684147795,0.08469390869140625,0.6624602198114212,86.24129179918354,156.14219313356793,551.8754210467655,A1,99,6.85,base,base,base
19,5148,98986,2680.144,520.6184926184926,0.09272384643554688,0.6437880104257168,109.74950417466128,185.25907222807297,757.2418910455763,A1,100,5.71,base,base,base
20,4800,94279,2512.21,523.3770833333333,0.12589740753173828,0.6561050180846212,92.65469892273724,147.43626739794294,698.2075245340269,A1,100,5.15,base,base,base
21,5057,98283,2683.265,530.6041131105399,0.09348201751708984,0.6446544672018558,104.19734746673834,179.31881452892952,767.5837411493341,A1,100,5.25,base,base,base
13,4619,92346,3403.176,736.7776575016237,0.06083798408508301,0.4546932189807896,,,,B1,0,0.0,blocks1,blocks,1
14,4926,101294,3728.064,756.8136419001218,0.0641636848449707,0.4450382056192864,,,,B1,0,0.0,blocks1,blocks,1
15,4428,87184,3367.218,760.4376693766937,0.058797359466552734,0.4438555239493485,,,,B1,0,0.0,blocks1,blocks,1
16,5091,106001,3880.896,762.3052445492045,0.06708741188049316,0.44465476740785465,,,,B1,0,0.0,blocks1,blocks,1
17,5240,99173,3768.606,719.1996183206107,0.06907153129577637,0.4425846752644369,,,,B1,0,0.0,blocks1,blocks,1
18,4195,84527,3163.662,754.1506555423123,0.05570173263549805,0.45455475765140135,,,,B1,0,0.0,blocks1,blocks,1
