week,orders,lines,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,moves,n_pickers,policy
13,4619,92346,2464.158,533.4830049794327,0.08761072158813477,0.6443473458514717,2049.626975410427,3075.7602895080045,8.249296366505707,0,5,B1
14,4926,101294,2691.315,546.3489646772229,0.09068655967712402,0.6423791142614568,2408.431359932231,3901.362687911592,8.713855204376674,0,5,B1
15,4428,87184,2409.71,544.1982836495032,0.09182167053222656,0.6375567764727473,2091.9197112608645,3153.1640951830227,5.747197165238813,0,5,B1
16,5091,106001,2798.434,549.6825770968376,0.09652519226074219,0.6393970339902454,2527.6210271840605,4310.00300145047,8.771150025737818,0,5,B1
17,5240,99173,2742.974,523.468320610687,0.09545493125915527,0.6325035543948454,2731.789221851831,4311.577189967046,7.897181860086788,0,5,B1
18,4195,84527,2298.953,548.0221692491061,0.07755708694458008,0.6418697575922486,1359.2553217936706,2644.227640877322,5.685604893546883,0,5,B1
19,5148,98986,2756.013,535.3560606060606,0.09563064575195312,0.6283449174630756,2568.2040063081786,4228.033507084197,9.585207330110933,0,5,B1
20,4800,94279,2617.782,545.37125,0.08790993690490723,0.6370907094899182,2073.2714706258666,3446.441322702664,10.080034294724861,0,5,B1
21,5057,98283,2751.02,544.0023729483884,0.09294915199279785,0.6297292003703591,2595.4198479429297,4211.936182248535,9.881861631907034,0,5,B1
13,4619,92346,2438.828,527.9991340116909,0.08362841606140137,0.6494439390986074,2009.5825251013944,3013.1736155523304,8.741208801532935,100,5,A1
14,4926,101294,2656.959,539.3745432399513,0.08974123001098633,0.6478182320769246,2350.0456339286447,3806.5076408683663,9.890592648157682,100,5,A1
15,4428,87184,2348.187,530.3042005420054,0.08272194862365723,0.6501060974490732,1983.6302213119754,3018.5520820268075,6.8032451470418955,100,5,A1
16,5091,106001,2711.358,532.5786682380672,0.09977960586547852,0.6534568070112546,2359.7581817638957,4032.257485190294,8.62209344083949,100,5,A1
17,5240,99173,2653.419,506.3776717557252,0.09346485137939453,0.6509279239309086,2558.8069999613263,4035.9828880964105,7.535997732458849,100,5,A1
18,4195,84527,2216.275,528.3134684147795,0.07616686820983887,0.6624602198114212,1268.6227516237057,2453.0215425461824,6.272354534350917,99,5,A1
19,5148,98986,2680.144,520.6184926184926,0.10870623588562012,0.6437880104257168,2440.9722318955314,4008.6531586025794,9.328185604865068,100,5,A1
20,4800,94279,2512.21,523.3770833333333,0.08669018745422363,0.6561050180846212,1888.7414509517287,3124.9338723685682,10.920530421620994,100,5,A1
21,5057,98283,2683.265,530.6041131105399,0.09823322296142578,0.6446544672018558,2455.525253735873,3993.90958328694,9.564416059240486,100,5,A1
13,4619,92346,2464.158,533.4830049794327,0.08379268646240234,0.6443473458514717,150.43844278194925,255.01917564931455,264.9457072052674,0,15,B1
14,4926,101294,2691.315,546.3489646772229,0.09166336059570312,0.6423791142614568,184.0940010654878,291.0450669780808,281.4973050139027,0,15,B1
15,4428,87184,2409.71,544.1982836495032,0.08148694038391113,0.6375567764727473,156.90891969380124,297.4430764752825,238.02049302966725,0,15,B1
16,5091,106001,2798.434,549.6825770968376,0.09459662437438965,0.6393970339902454,182.97019456613285,313.8845603057552,295.0265295372583,0,15,B1
17,5240,99173,2742.974,523.468320610687,0.09582757949829102,0.6325035543948454,172.5667580171864,299.1792552025853,274.0682141903206,0,15,B1
18,4195,84527,2298.953,548.0221692491061,0.07723689079284668,0.6418697575922486,146.37204371307965,282.02521937814055,203.02309460679191,0,15,B1
19,5148,98986,2756.013,535.3560606060606,0.09409618377685547,0.6283449174630756,180.8926434363393,307.4177401601932,288.3751460418969,0,15,B1
20,4800,94279,2617.782,545.37125,0.08804035186767578,0.6370907094899182,165.57543799713255,270.04537220380985,285.16490461531316,0,15,B1
21,5057,98283,2751.02,544.0023729483884,0.09173226356506348,0.6297292003703591,166.99089191696183,286.299925043503,273.01881343305934,0,15,B1
13,4619,92346,2438.828,527.9991340116909,0.08298802375793457,0.6494439390986074,142.748073010351,247.89207492331735,257.6244398133149,100,15,A1
14,4926,101294,2656.959,539.3745432399513,0.0935671329498291,0.6478182320769246,177.93743021413079,280.0931281222346,280.4315472500066,100,15,A1
